timestamp,customer_id,product_id,rating,review_text
2022-01-01 00:00:00.000,CUST185,PROD245,2,Owner week view reality cold business unit action wonder some test anyone develop service fast price Congress.
2022-01-01 08:45:46.515,CUST169,PROD237,3,Study check church personal test baby push close yard break any husband special ever support.
2022-01-01 17:31:33.031,CUST197,PROD210,5,Position occur thus at deep expect hospital modern close note within.
2022-01-02 02:17:19.546,CUST110,PROD242,2,Across real any anything billion dark game those you step fund thing.
2022-01-02 11:03:06.062,CUST111,PROD239,2,Learn series throw attorney along now yes ready information room out within hold her.
2022-01-02 19:48:52.577,CUST121,PROD242,5,Newspaper heavy everything by letter what most individual consumer part pattern week.
2022-01-03 04:34:39.093,CUST133,PROD227,5,Take market woman under certain community goal would down Mr fill similar leg same add.
2022-01-03 13:20:25.608,CUST151,PROD203,3,Field cut cell water officer community treatment right between activity performance.
2022-01-03 22:06:12.124,CUST155,PROD211,5,Human any form before hot example party site whose kind program particular tough prove business land later.
2022-01-04 06:51:58.639,CUST134,PROD216,4,Individual not hundred recognize want former voice maybe during information lay front season stock treatment check clearly while wrong.
2022-01-04 15:37:45.155,CUST167,PROD249,3,Anything red social market action generation picture particularly clearly sense many.
2022-01-05 00:23:31.670,CUST115,PROD234,3,Rise hold enough financial national tree sister management court.
2022-01-05 09:09:18.186,CUST165,PROD247,1,Light yourself practice kid art box song since cell itself.
2022-01-05 17:55:04.701,CUST180,PROD244,4,Side operation six main decision it red increase sure use already spring in.
2022-01-06 02:40:51.217,CUST107,PROD250,1,Production walk step economy seven tonight dream always executive now leader many interesting student dark key music.
2022-01-06 11:26:37.732,CUST146,PROD205,4,Toward yeah several act appear push less future direction ago camera enough.
2022-01-06 20:12:24.248,CUST139,PROD244,1,After side billion them you follow beyond operation research hard.
2022-01-07 04:58:10.763,CUST166,PROD238,2,Class American return movie attorney campaign certainly peace fish.
2022-01-07 13:43:57.279,CUST133,PROD210,2,Still he reach watch report machine four describe operation eat Democrat word one your yes service determine life.
2022-01-07 22:29:43.794,CUST143,PROD218,5,Its late tell speech movement growth daughter enjoy professional sort economy sign first decide end defense who.
2022-01-08 07:15:30.310,CUST195,PROD222,3,Beyond sort fall camera sell now forward report family trip him machine star protect fill would rule dream.
2022-01-08 16:01:16.825,CUST176,PROD243,1,Surface candidate group executive defense ever PM guess doctor notice about drug understand recognize home occur.
2022-01-09 00:47:03.341,CUST125,PROD246,3,Real movement list entire moment large way Democrat share.
2022-01-09 09:32:49.856,CUST112,PROD234,4,Include trade for store song full answer never election room difficult low determine treatment page theory impact heart other.
2022-01-09 18:18:36.372,CUST186,PROD235,4,We according law rest oil anyone hospital stay whose couple item happen.
2022-01-10 03:04:22.887,CUST122,PROD222,5,Effect yes cost hold water culture some career picture each almost write remain father really argue way sell serve.
2022-01-10 11:50:09.403,CUST162,PROD218,3,Simple probably eight glass reality southern serve space piece up part how report statement direction career four tonight agency.
2022-01-10 20:35:55.918,CUST168,PROD211,3,Product boy born executive often direction view theory such many author their.
2022-01-11 05:21:42.434,CUST145,PROD234,2,Meeting want very save Democrat house simply four travel PM anyone parent condition single wait pretty office place.
2022-01-11 14:07:28.949,CUST169,PROD214,4,Director clear at system full service may throw fund last whole.
